pid,cond,length,swap_noise,start_time,alpha_time,beta_time,switch_time,idx,Q_p_err,S_p_err,Q_cum_err,S_cum_err,Q_rt,S_rt
1219,crossed,4,0.02,207.0516827370663,494.6023317170949,17.30203906951001,0.8679294369890092,1,0.010250000000000037,0.010287500000000038,0.010250000000000037,0.010287500000000038,511.9043707866049,511.9043707866049
1219,crossed,4,0.02,207.0516827370663,494.6023317170949,17.30203906951001,0.8679294369890092,2,0.048400000000000616,0.048212500000000616,0.05865000000000065,0.058500000000000656,526.9213198149665,561.5253979539866
1219,crossed,4,0.02,207.0516827370663,494.6023317170949,17.30203906951001,0.8679294369890092,3,0.0,0.0,0.05865000000000065,0.058500000000000656,511.9043707866049,511.9043707866049
1220,crossed,4,0.03,98.45184301016224,491.98884340808877,12.779236584738467,3.061660290804317,0,0.0,0.0,0.0,0.0,642.345604201277,642.345604201277
1220,crossed,4,0.03,98.45184301016224,491.98884340808877,12.779236584738467,3.061660290804317,1,0.014787500000000167,0.015100000000000176,0.014787500000000167,0.015100000000000176,504.7680799928272,504.7680799928272
1220,crossed,4,0.03,98.45184301016224,491.98884340808877,12.779236584738467,3.061660290804317,2,0.07273750000000131,0.07262500000000131,0.08752500000000148,0.0877250000000015,543.8937611911148,569.4522343605918
1220,crossed,4,0.03,98.45184301016224,491.98884340808877,12.779236584738467,3.061660290804317,3,0.0,0.0,0.08752500000000148,0.0877250000000015,504.7680799928272,504.7680799928272
1221,crossed,4,0.02,200.39986106332827,531.839137732714,7.325081687160592,3.106026404064766,0,0.0,0.0,0.0,0.0,762.315977615455,762.315977615455
1221,crossed,4,0.02,200.39986106332827,531.839137732714,7.325081687160592,3.106026404064766,1,0.010250000000000037,0.010287500000000038,0.010250000000000037,0.010287500000000038,539.1642194198746,539.1642194198746
1221,crossed,4,0.02,200.39986106332827,531.839137732714,7.325081687160592,3.106026404064766,2,0.048400000000000616,0.048212500000000616,0.05865000000000065,0.058500000000000656,561.9161165521267,576.5662799264478
1221,crossed,4,0.02,200.39986106332827,531.839137732714,7.325081687160592,3.106026404064766,3,0.0,0.0,0.05865000000000065,0.058500000000000656,539.1642194198746,539.1642194198746
1222,crossed,4,0.02,96.48040481716384,493.4701580480888,6.912321237207561,3.1127903513260726,0,0.0,0.0,0.0,0.0,618.3794909549063,618.3794909549063
1222,crossed,4,0.02,96.48040481716384,493.4701580480888,6.912321237207561,3.1127903513260726,1,0.010250000000000037,0.010287500000000038,0.010250000000000037,0.010287500000000038,500.38247928529637,500.38247928529637
1222,crossed,4,0.02,96.48040481716384,493.4701580480888,6.912321237207561,3.1127903513260726,2,0.048400000000000616,0.048212500000000616,0.05865000000000065,0.058500000000000656,521.8990861377424,535.7237286121575
1222,crossed,4,0.02,96.48040481716384,493.4701580480888,6.912321237207561,3.1127903513260726,3,0.0,0.0,0.05865000000000065,0.058500000000000656,500.38247928529637,500.38247928529637
1223,crossed,4,0.02,174.67141866897404,458.9426374482339,13.631474736498507,3.856323120895858,0,0.0,0.0,0.0,0.0,699.8129020519734,699.8129020519734
1223,crossed,4,0.02,174.67141866897404,458.9426374482339,13.631474736498507,3.856323120895858,1,0.010250000000000037,0.010287500000000038,0.010250000000000037,0.010287500000000038,472.57411218473237,472.57411218473237
1223,crossed,4,0.02,174.67141866897404,458.9426374482339,13.631474736498507,3.856323120895858,2,0.048400000000000616,0.048212500000000616,0.05865000000000065,0.058500000000000656,525.1414833829994,552.4044328559963
1223,crossed,4,0.02,174.67141866897404,458.9426374482339,13.631474736498507,3.856323120895858,3,0.0,0.0,0.05865000000000065,0.058500000000000656,472.57411218473237,472.57411218473237
1224,crossed,4,0.02,95.53006889923222,491.5196030630798,20.00372037925724,1.0319957825581554,0,0.0,0.0,0.0,0.0,627.6971474084353,627.6971474084353
1224,crossed,4,0.02,95.53006889923222,491.5196030630798,20.00372037925724,1.0319957825581554,1,0.010250000000000037,0.010287500000000038,0.010250000000000037,0.010287500000000038,511.523323442337,511.523323442337
1224,crossed,4,0.02,95.53006889923222,491.5196030630798,20.00372037925724,1.0319957825581554,2,0.048400000000000616,0.048212500000000616,0.05865000000000065,0.058500000000000656,532.1670785092031,572.1745192677176
1224,crossed,4,0.02,95.53006889923222,491.5196030630798,20.00372037925724,1.0319957825581554,3,0.0,0.0,0.05865000000000065,0.058500000000000656,511.523323442337,511.523323442337
1225,crossed,4,0.02,195.93205303962733,499.3288143644611,20.052669551386035,0.17947020204732422,0,0.0,0.0,0.0,0.0,718.9123936114499,718.9123936114499
1225,crossed,4,0.02,195.93205303962733,499.3288143644611,20.052669551386035,0.17947020204732422,1,0.010250000000000037,0.010287500000000038,0.010250000000000037,0.010287500000000038,519.3814839158472,519.3814839158472
1225,crossed,4,0.02,195.93205303962733,499.3288143644611,20.052669551386035,0.17947020204732422,2,0.048400000000000616,0.048212500000000616,0.05865000000000065,0.058500000000000656,522.9803405718226,563.0856796745946
1225,crossed,4,0.02,195.93205303962733,499.3288143644611,20.052669551386035,0.17947020204732422,3,0.0,0.0,0.05865000000000065,0.058500000000000656,519.3814839158471,519.3814839158472
1226,crossed,4,0.02,91.65045462757845,453.94592189751313,22.25502825949706,2.649001783217792,0,0.0,0.0,0.0,0.0,626.8050143295587,626.8050143295587
1226,crossed,4,0.02,91.65045462757845,453.94592189751313,22.25502825949706,2.649001783217792,1,0.010250000000000037,0.010287500000000038,0.010250000000000037,0.010287500000000038,476.2009501570102,476.2009501570102
1226,crossed,4,0.02,91.65045462757845,453.94592189751313,22.25502825949706,2.649001783217792,2,0.048400000000000616,0.048212500000000616,0.05865000000000065,0.058500000000000656,535.1545597019802,579.6646162209744
1226,crossed,4,0.02,91.65045462757845,453.94592189751313,22.25502825949706,2.649001783217792,3,0.0,0.0,0.05865000000000065,0.058500000000000656,476.2009501570102,476.2009501570102
1227,crossed,4,0.02,199.6308715066717,467.2354796009205,30.685952954315994,1.7172134133388264,0,0.0,0.0,0.0,0.0,750.2466340761438,750.2466340761438
1227,crossed,4,0.02,199.6308715066717,467.2354796009205,30.685952954315994,1.7172134133388264,1,0.010250000000000037,0.010287500000000038,0.010250000000000037,0.010287500000000038,497.9214325552365,497.9214325552365
1227,crossed,4,0.02,199.6308715066717,467.2354796009205,30.685952954315994,1.7172134133388264,2,0.048400000000000616,0.048212500000000616,0.05865000000000065,0.058500000000000656,550.615762569472,611.9876684781041
1227,crossed,4,0.02,199.6308715066717,467.2354796009205,30.685952954315994,1.7172134133388264,3,0.0,0.0,0.05865000000000065,0.058500000000000656,497.9214325552365,497.9214325552365
1228,crossed,4,0.03,91.04935243712927,488.53039011583667,27.241845299331835,2.8611114489847074,0,0.0,0.0,0.0,0.0,684.7635433296864,684.7635433296864
1228,crossed,4,0.03,91.04935243712927,488.53039011583667,27.241845299331835,2.8611114489847074,1,0.014787500000000167,0.015100000000000176,0.014787500000000167,0.015100000000000176,515.7722354151686,515.7722354151686
1228,crossed,4,0.03,91.04935243712927,488.53039011583667,27.241845299331835,2.8611114489847074,2,0.07273750000000131,0.07262500000000131,0.08752500000000148,0.0877250000000015,593.7141908925571,648.1978814912208
1228,crossed,4,0.03,91.04935243712927,488.53039011583667,27.241845299331835,2.8611114489847074,3,0.0,0.0,0.08752500000000148,0.0877250000000015,515.7722354151686,515.7722354151686
1229,crossed,4,0.03,177.8041613069939,486.6753380496971,24.31975094410953,2.3814294448555393,0,0.0,0.0,0.0,0.0,746.7150212906563,746.7150212906563
1229,crossed,4,0.03,177.8041613069939,486.6753380496971,24.31975094410953,2.3814294448555393,1,0.014787500000000167,0.015100000000000176,0.014787500000000167,0.015100000000000176,510.99508899380663,510.99508899380663
1229,crossed,4,0.03,177.8041613069939,486.6753380496971,24.31975094410953,2.3814294448555393,2,0.07273750000000131,0.07262500000000131,0.08752500000000148,0.0877250000000015,568.9108599836624,617.5503618718815
1229,crossed,4,0.03,177.8041613069939,486.6753380496971,24.31975094410953,2.3814294448555393,3,0.0,0.0,0.08752500000000148,0.0877250000000015,510.99508899380663,510.9950889938066
1230,crossed,4,0.01,129.54860433074185,486.93316717067404,30.30179729231511,4.294083285302997,0,0.0,0.0,0.0,0.0,776.9020100613009,776.9020100613009
1230,crossed,4,0.01,129.54860433074185,486.93316717067404,30.30179729231511,4.294083285302997,1,0.004974999999999984,0.004774999999999985,0.004974999999999984,0.004774999999999985,517.2349644629892,517.2349644629892
1230,crossed,4,0.01,129.54860433074185,486.93316717067404,30.30179729231511,4.294083285302997,2,0.02476250000000004,0.02510000000000004,0.029737500000000024,0.029875000000000023,647.3534057305591,707.9570003151894
1230,crossed,4,0.01,129.54860433074185,486.93316717067404,30.30179729231511,4.294083285302997,3,0.0,0.0,0.029737500000000024,0.029875000000000023,517.2349644629892,517.2349644629892
1231,crossed,4,0.02,199.286509267012,479.7208825269268,27.34884813102226,3.184588834604169,0,0.0,0.0,0.0,0.0,793.4510763222996,793.4510763222996
1231,crossed,4,0.02,199.286509267012,479.7208825269268,27.34884813102226,3.184588834604169,1,0.010250000000000037,0.010287500000000038,0.010250000000000037,0.010287500000000038,507.06973065794904,507.06973065794904
1231,crossed,4,0.02,199.286509267012,479.7208825269268,27.34884813102226,3.184588834604169,2,0.048400000000000616,0.048212500000000616,0.05865000000000065,0.058500000000000656,594.1645670552876,648.8622633173322
1231,crossed,4,0.02,199.286509267012,479.7208825269268,27.34884813102226,3.184588834604169,3,0.0,0.0,0.05865000000000065,0.058500000000000656,507.06973065794904,507.06973065794904
1232,crossed,4,0.02,113.72579889719363,526.2490300528029,55.804722490111146,1.4358511329963517,0,0.0,0.0,0.0,0.0,775.9068254540808,775.9068254540808
1232,crossed,4,0.02,113.72579889719363,526.2490300528029,55.804722490111146,1.4358511329963517,1,0.010250000000000037,0.010287500000000038,0.010250000000000037,0.010287500000000038,582.053752542914,582.053752542914
1232,crossed,4,0.02,113.72579889719363,526.2490300528029,55.804722490111146,1.4358511329963517,2,0.048400000000000616,0.048212500000000616,0.05865000000000065,0.058500000000000656,662.1810265568872,773.7904715371094
1232,crossed,4,0.02,113.72579889719363,526.2490300528029,55.804722490111146,1.4358511329963517,3,0.0,0.0,0.05865000000000065,0.058500000000000656,582.053752542914,582.053752542914
1233,crossed,4,0.02,201.98977519775352,548.404021367401,55.0568921329175,0.8591320676894638,0,0.0,0.0,0.0,0.0,852.7518302767812,852.7518302767812
1233,crossed,4,0.02,201.98977519775352,548.404021367401,55.0568921329175,0.8591320676894638,1,0.010250000000000037,0.010287500000000038,0.010250000000000037,0.010287500000000038,603.4609135003185,603.4609135003185
1233,crossed,4,0.02,201.98977519775352,548.404021367401,55.0568921329175,0.8591320676894638,2,0.048400000000000616,0.048212500000000616,0.05865000000000065,0.058500000000000656,650.7620550790277,760.8758393448627
1233,crossed,4,0.02,201.98977519775352,548.404021367401,55.0568921329175,0.8591320676894638,3,0.0,0.0,0.05865000000000065,0.058500000000000656,603.4609135003185,603.4609135003185
1234,crossed,4,0.01,107.57675912675577,474.64201400722243,52.28033043589535,1.761785419077817,0,0.0,0.0,0.0,0.0,726.6058274364042,726.6058274364042
1234,crossed,4,0.01,107.57675912675577,474.64201400722243,52.28033043589535,1.761785419077817,1,0.004974999999999984,0.004774999999999985,0.004974999999999984,0.004774999999999985,526.9223444431178,526.9223444431178
1234,crossed,4,0.01,107.57675912675577,474.64201400722243,52.28033043589535,1.761785419077817,2,0.02476250000000004,0.02510000000000004,0.029737500000000024,0.029875000000000023,619.0290683096484,723.5897291814391
1234,crossed,4,0.01,107.57675912675577,474.64201400722243,52.28033043589535,1.761785419077817,3,0.0,0.0,0.029737500000000024,0.029875000000000023,526.9223444431178,526.9223444431178
1235,crossed,4,0.02,192.79006952940347,508.266347753338,43.632419265702566,1.6923157198594425,0,0.0,0.0,0.0,0.0,818.5286655672904,818.5286655672904
1235,crossed,4,0.02,192.79006952940347,508.266347753338,43.632419265702566,1.6923157198594425,1,0.010250000000000037,0.010287500000000038,0.010250000000000037,0.010287500000000038,551.8987670190405,551.8987670190405
1235,crossed,4,0.02,192.79006952940347,508.266347753338,43.632419265702566,1.6923157198594425,2,0.048400000000000616,0.048212500000000616,0.05865000000000065,0.058500000000000656,625.738596037887,713.003434569292
1235,crossed,4,0.02,192.79006952940347,508.266347753338,43.632419265702566,1.6923157198594425,3,0.0,0.0,0.05865000000000065,0.058500000000000656,551.8987670190405,551.8987670190405
1236,crossed,4,0.02,99.7135043918979,535.7202611485695,40.82966495914326,2.6751166409504545,0,0.0,0.0,0.0,0.0,785.4875466762464,785.4875466762464
1236,crossed,4,0.02,99.7135043918979,535.7202611485695,40.82966495914326,2.6751166409504545,1,0.010250000000000037,0.010287500000000038,0.010250000000000037,0.010287500000000038,576.5499261077127,576.5499261077127
1236,crossed,4,0.02,99.7135043918979,535.7202611485695,40.82966495914326,2.6751166409504545,2,0.048400000000000616,0.048212500000000616,0.05865000000000065,0.058500000000000656,685.7740422843485,767.4333722026352
1236,crossed,4,0.02,99.7135043918979,535.7202611485695,40.82966495914326,2.6751166409504545,3,0.0,0.0,0.05865000000000065,0.058500000000000656,576.5499261077127,576.5499261077127
1237,crossed,4,0.01,171.9077156924536,491.8649937096126,40.544553475206285,3.2949631755700204,0,0.0,0.0,0.0,0.0,837.9100735480067,837.9100735480067
1237,crossed,4,0.01,171.9077156924536,491.8649937096126,40.544553475206285,3.2949631755700204,1,0.004974999999999984,0.004774999999999985,0.004974999999999984,0.004774999999999985,532.4095471848188,532.4095471848188
1237,crossed,4,0.01,171.9077156924536,491.8649937096126,40.544553475206285,3.2949631755700204,2,0.02476250000000004,0.02510000000000004,0.029737500000000024,0.029875000000000023,666.0023578555531,747.0914648059656
1237,crossed,4,0.01,171.9077156924536,491.8649937096126,40.544553475206285,3.2949631755700204,3,0.0,0.0,0.029737500000000024,0.029875000000000023,532.4095471848188,532.4095471848188
1238,crossed,4,0.02,131.91348980647427,502.51675104934833,44.42119390731232,4.210452355736125,0,0.0,0.0,0.0,0.0,865.8847552947893,865.8847552947893
1238,crossed,4,0.02,131.91348980647427,502.51675104934833,44.42119390731232,4.210452355736125,1,0.010250000000000037,0.010287500000000038,0.010250000000000037,0.010287500000000038,546.9379449566607,546.9379449566607
1238,crossed,4,0.02,131.91348980647427,502.51675104934833,44.42119390731232,4.210452355736125,2,0.048400000000000616,0.048212500000000616,0.05865000000000065,0.058500000000000656,733.971265488315,822.8136533029397
1238,crossed,4,0.02,131.91348980647427,502.51675104934833,44.42119390731232,4.210452355736125,3,0.0,0.0,0.05865000000000065,0.058500000000000656,546.9379449566607,546.9379449566607
1239,crossed,4,0.02,217.95848626035846,505.46751179789516,43.6488483364508,3.388587826356473,0,0.0,0.0,0.0,0.0,914.9828025020815,914.9828025020815
1239,crossed,4,0.02,217.95848626035846,505.46751179789516,43.6488483364508,3.388587826356473,1,0.010250000000000037,0.010287500000000038,0.010250000000000037,0.010287500000000038,549.116360134346,549.116360134346
1239,crossed,4,0.02,217.95848626035846,505.46751179789516,43.6488483364508,3.388587826356473,2,0.048400000000000616,0.048212500000000616,0.05865000000000065,0.058500000000000656,697.0243162417231,784.3220129146247
1239,crossed,4,0.02,217.95848626035846,505.46751179789516,43.6488483364508,3.388587826356473,3,0.0,0.0,0.05865000000000065,0.058500000000000656,549.116360134346,549.116360134346
