pid,p_CE,p_crossed,cond,lkhd_Q,lkhd_S,lkhd_Q_4,lkhd_Q_6,lkhd_Q_8,lkhd_S_4,lkhd_S_6,lkhd_S_8,param_name,param_est_Q,param_est_S
3wl3y14jkdghldvj11suas,0.77,0.0,CE,-613.0323746152073,-630.7468317246114,-68.0203698892679,-210.66629997978606,-334.34570474615344,-73.12042786203934,-216.41326008174653,-341.2131437808256,strat_a_6,0.905381542860561,0.8528301478846481
3wl3y14jkdghldvj11suas,0.77,0.0,CE,-613.0323746152073,-630.7468317246114,-68.0203698892679,-210.66629997978606,-334.34570474615344,-73.12042786203934,-216.41326008174653,-341.2131437808256,strat_a_8,0.9751336717627399,0.9690710355555205
3wl3y14jkdghldvj11suas,0.77,0.0,CE,-613.0323746152073,-630.7468317246114,-68.0203698892679,-210.66629997978606,-334.34570474615344,-73.12042786203934,-216.41326008174653,-341.2131437808256,strat_b_4,-0.2389288396607097,-1.0169967500237937
3wl3y14jkdghldvj11suas,0.77,0.0,CE,-613.0323746152073,-630.7468317246114,-68.0203698892679,-210.66629997978606,-334.34570474615344,-73.12042786203934,-216.41326008174653,-341.2131437808256,strat_b_6,-1.9418595949220407,-1.9518999262878212
3wl3y14jkdghldvj11suas,0.77,0.0,CE,-613.0323746152073,-630.7468317246114,-68.0203698892679,-210.66629997978606,-334.34570474615344,-73.12042786203934,-216.41326008174653,-341.2131437808256,strat_b_8,-1.938475280982244,-1.7744934818585285
3wl3y14jkdghldvj11suas,0.77,0.0,CE,-613.0323746152073,-630.7468317246114,-68.0203698892679,-210.66629997978606,-334.34570474615344,-73.12042786203934,-216.41326008174653,-341.2131437808256,strat_c_4,0.8763661956811921,2.3242609326567303
3wl3y14jkdghldvj11suas,0.77,0.0,CE,-613.0323746152073,-630.7468317246114,-68.0203698892679,-210.66629997978606,-334.34570474615344,-73.12042786203934,-216.41326008174653,-341.2131437808256,strat_c_6,1.6231949151469525,1.592932131577474
3wl3y14jkdghldvj11suas,0.77,0.0,CE,-613.0323746152073,-630.7468317246114,-68.0203698892679,-210.66629997978606,-334.34570474615344,-73.12042786203934,-216.41326008174653,-341.2131437808256,strat_c_8,1.476532743615453,1.9859869200195033
3wl3y14jkdghldvj11suas,0.77,0.0,CE,-613.0323746152073,-630.7468317246114,-68.0203698892679,-210.66629997978606,-334.34570474615344,-73.12042786203934,-216.41326008174653,-341.2131437808256,random_err,0.06301294041978367,0.06867367247768641
3wl3y14jkdghldvj11suas,0.77,0.0,CE,-613.0323746152073,-630.7468317246114,-68.0203698892679,-210.66629997978606,-334.34570474615344,-73.12042786203934,-216.41326008174653,-341.2131437808256,switch_cost,1.27,5.63
